highway,direction,exit,exit_name
BQE, EB, Exit 27, Atlantic Ave
BQE, EB, Exit 28A, Camdan Plaza West
BQE, EB, Exit 28B, Brooklyn Bridge
BQE, EB, Exit 29A, Manhattan Bridge
BQE, EB, Exit 29B, Tillary St/Manhattan Bridge
BQE, EB, Exit 30, Flushing Ave
BQE, EB, Exit 32, Metropolitan Ave/Williamsburg Br
BQE, EB, Exit 33, McGuiness Blvd/Humboldt St
BQE, EB, Exits 35A-B, LIE/48th St
BQE, EB, Exit 39, Queens Blvd/65th Pl
BQE, EB, Exit 40, Broadway/Roosevelt Ave
BQE, EB, Exit 41, Northern Blvd
BQE, EB, Exit 42, EB GCP/LGA Airport
BQE, EB, Exit 43, 30th Ave
BQE, EB, Exit 44, WB Astoria Blvd
BQE, EB, Exit 45, 31st St
BQE, EB, RFK Bridge
RFK Bridge, EB, Exit 46, Randalls Island
RFK Bridge, EB, Exit 47, NB Major Deegan Expwy
Bruckner Expressway, Exit 48, E. 138th St
Bruckner Expressway, Exit 49, Sheridan Blvd
Bruckner Expressway, Exit 52, NB Bronx River Pkwy
Bruckner Expressway, Exit 53, White Plains Rd/Castle Hill Ave
Bruckner Expressway, Exit 54, Queens bound Whitestone Br/Throgs Neck Br
Bruckner Expressway, NB I-95/Bruckner Expwy

West Shore Expressway, NB, Outerbridge Crossing
West Shore Expressway, NB, Exit 1, Page Ave
West Shore Expressway, NB, Exit 2, NB Korean War Veterans Pkwy/Richmond Ave
West Shore Expressway, NB, Exit 3, Woodrow Ave
West Shore Expressway, NB, Exit 4, Arthur King Rd/Huquenot Ave
West Shore Expressway, NB, Exit 7, Victory Blvd
West Shore Expressway, NB, Exit 8, South Ave
West Shore Expressway, NB, Exit 9, Glen St
West Shore Expressway, NB, EB SIE/Goethals Br
West Shore Expressway, SB, SIE
West Shore Expressway, SB, Exit 7, Victory Blvd
West Shore Expressway, SB, Exit 5, Muldoon Ave/Arden Ave
West Shore Expressway, SB, Exit 3B, Bloomingdale Rd
West Shore Expressway, SB, Exit 3A, Englewood Ave
West Shore Expressway, SB, Exit 2, NB Korean War Verans Pkwy/Richmond Ave
West Shore Expressway, SB, Exit 1, Arthur Kill Rd

Dr. Martin Luther King Jr Expwy, NB, Victory Blvd
Dr. Martin Luther King Jr Expwy, NB, Exit 10W, Goethals Br
Dr. Martin Luther King Jr Expwy, NB, Exit 12, Forest Ave
Dr. Martin Luther King Jr Expwy, NB, Exit 13, Richmond Terrace
Dr. Martin Luther King Jr Expwy, NB, Bayonne Bridge
Dr. Martin Luther King Jr Expwy, SB, Bayonne Bridge
Dr. Martin Luther King Jr Expwy, SB, Exit 13, Morningstar Rd/Richmond Terrace
Dr. Martin Luther King Jr Expwy, SB, Exit 12, Forest Ave
Dr. Martin Luther King Jr Expwy, SB, Exit 11, Victory Blvd
Dr. Martin Luther King Jr Expwy, SB, Exit 10E, EB SIE
Dr. Martin Luther King Jr Expwy, SB, Goethals Bridge
Dr. Martin Luther King Jr Expwy, SB, Victory Blvd

Major Deegan Expressway, NB, RFK Bridge/EB Bruckner Expwy
Major Deegan Expressway, NB, Exit 2, Willis Ave/Third Ave Br
Major Deegan Expressway, NB, Exit 3, Grand Concourse/E. 138th
Major Deegan Expressway, NB, Exit 4, E. 149th St/145th St Br
